time,open,high,low,close,EMA Direction (debug),Order Sent Long,Order Sent Short,Volume,Volume MA
1785721440,28620.5,28630,28620.5,28629.25,1,0,0,576,848.15
1785721500,28630,28631.75,28618,28625.75,1,0,0,931,829.3
1785721560,28626,28633,28623.5,28627,1,0,0,698,833.05
1785721620,28627.25,28631.5,28621.25,28624,1,0,0,637,814.15
1785721680,28625,28626,28619.5,28622,1,0,0,475,799.45
1785721740,28623,28631,28619.25,28620.25,1,0,0,637,808.25
1785721800,28620.5,28627.5,28620.25,28625.25,1,0,0,346,786.4
1785721860,28625.5,28641.25,28620.75,28637,1,0,0,1384,828.85
1785721920,28637.75,28639.5,28632.5,28634.25,1,0,0,678,817.15
1785721980,28634.25,28635.5,28621.5,28621.75,1,0,0,570,807.85
1785722040,28621.75,28631.25,28618.75,28631.25,1,0,0,767,820.25
1785722100,28631,28634.25,28625.25,28632,1,0,0,533,804.4
1785722160,28631.25,28639,28631.25,28637.25,1,0,0,637,778.25
1785722220,28636.5,28640,28633.75,28638.75,1,0,0,545,764.2
1785722280,28639.25,28650,28637.75,28647,1,0,0,1734,804.3
1785722340,28646.75,28650,28643.75,28643.75,1,0,0,544,795.15
1785722400,28644.25,28648,28631,28642.25,1,0,0,1283,806.95
1785722460,28641.75,28645,28634.25,28638.75,1,0,0,567,774.4
1785722520,28638,28654.75,28637.5,28652.5,1,0,0,1213,773.15
1785722580,28652.75,28663.5,28651.25,28661.5,1,0,0,1711,823.3
1785722640,28662.25,28663.75,28653.5,28654.75,1,0,0,727,830.85
1785722700,28655,28657.75,28648.5,28656,1,0,0,933,830.95
1785722760,28654.75,28659.75,28652.5,28653,1,0,0,520,822.05
1785722820,28652.75,28656.25,28650.25,28652,1,0,0,441,812.25
1785722880,28652,28656.5,28646,28649.5,1,0,0,726,824.8
1785722940,28648.5,28650.5,28633.5,28640,1,0,0,1303,858.1
1785723000,28640.5,28654.5,28638.75,28648,1,0,0,1049,893.25
1785723060,28648.25,28658.75,28648,28654.5,1,0,0,766,862.35
1785723120,28655,28655,28647,28650.75,1,0,0,541,855.5
1785723180,28651,28668.75,28649.25,28667.25,1,0,0,1139,883.95
1785723240,28667.5,28667.5,28658,28663,1,0,0,847,887.95
1785723300,28663,28663,28654.5,28659,1,0,0,609,891.75
1785723360,28658.75,28659.5,28655.25,28656.25,1,0,0,370,878.4
1785723420,28655.25,28666,28655.25,28664.25,1,0,0,631,882.7
1785723480,28664.25,28671.5,28662.5,28669.25,1,0,0,915,841.75
1785723540,28669.5,28676.25,28666.5,28675.25,1,0,0,749,852
1785723600,28675.25,28680.75,28672.75,28678,1,0,0,965,836.1
1785723660,28678.75,28679.75,28667.5,28671.5,1,0,0,991,857.3
1785723720,28671.5,28676.5,28670.75,28674.25,1,0,0,373,815.3
1785723780,28674.75,28675.25,28665.5,28665.75,1,0,1,702,764.85
1785723840,28666.25,28668,28658.25,28661.75,1,0,0,1279,792.45
1785723900,28661.75,28662.5,28658.5,28660.25,1,0,0,266,759.1
